navn,tiltradte,fratradte,grunnlag,fodt,dod,fodested,dodssted,gravsted
Harald I Hårfagre,872 ca.,933 ca.,Sønn av Halvdan Svarte,850 ca.,933 ca.,Vestfold,Rogaland,"Rogaland, Haugesund (trad.)"
Eirik Blodøks,931 ca.,933 ca.,Sønn av Harald Hårfagre,895 ca.,954 ant.,"Sogn og Fjordane, Svanøy","England, Stainmore",
Håkon I den gode,933,961 ca.,Sønn av Harald Hårfagre,918 ca.,961 ca.,"Hordaland, Bergen, Håkonshella","Hordaland, Fitjar",
Harald II Gråfell,960 ca.,970 ca.,Sønn av Eirik Blodøks,935 ca.,970 ca.,,"Danmark, Hals ved Limfjorden",
Håkon Sigurdsson ladejarl,970 ca.,995,"Ladejarl, innsatt av danekongen",935 ca.,995,,"Sør-Trøndelag, Melhus",
Olav I Tryggvason,995,1000,Sønn av småkongen Tryggve Olavsson,963 ca.,1000,"Rogaland, Lalandsholmen",Svolder,
Eirik Håkonsson ladejarl,1000,1015,"Ladejarl, sønn av Håkon Sigurdsson",964 ca.,1024 ca.,,England,
Svein Håkonsson ladejarl,1000,1016,"Ladejarl, sønn av Håkon Sigurdsson",1016 ant.,,,Russland ?,NA
Olav II den hellige,1015,1028,Sønn av småkongen Harald Grenske,,1030,,"Nord-Trøndelag, Stiklestad","Sør-Trøndelag, Nidaros, Kristkirken"
Håkon Eiriksson ladejarl,1028,1029,Sønn av Eirik Håkonsson,998,1029,,Nordsjøen,Borte på havet
Svein Alfivasson,1029,1035,"Sønn av Knud den store, innsatt av danekongen",1020 senest,1036,Danmark,Danmark,
Magnus I den gode,1035,1047,Sønn av Olav den hellige,1024,1047,,Danmark,"Sør-Trøndelag, Nidaros, Kristkirken"
Harald III Hardråde,1045,1066,"Sønn av Sigurd Syr, halvbror av Olav den hellige",1015,1066,"Buskerud, Ringerike","England, Stamford Bridge","Sør-Trøndelag, Nidaros, Elgeseter"
Magnus II Haraldsson,1066,1069,Sønn av Harald Hardråde,1049 ca.,1069,,"Sør-Trøndelag, Nidaros","Sør-Trøndelag, Nidaros, Kristkirken"
Olav III Kyrre,1067,1093,Sønn av Harald Hardråde,1050 ca.,1093,,"Båhuslen, Tanum","Sør-Trøndelag, Nidaros, Kristkirken"
Håkon Magnusson Toresfostre,1093,1095,Sønn av Magnus Haraldsson,1069 ca.,1095,,"Oppland, Dovrefjell","Sør-Trøndelag, Nidaros, Kristkirken"
Magnus III Berrføtt,1093,1103,Sønn av Olav Kyrre,1073,1103,,Irland,"Irland, Downpatrick"
Olav Magnusson,1103,1115,Sønn av Magnus Berrføtt,1098,1115,,"Sør-Trøndelag, Nidaros","Sør-Trøndelag, Nidaros, Kristkirken"
Øystein I Magnusson,1103,1123,Sønn av Magnus Berrføtt,1088 ca.,1123,,"Møre og Romsdal, Fræna, Hustad","Sør-Trøndelag, Nidaros, Kristkirken"
Sigurd I Jorsalfare,1103,1130,Sønn av Magnus Berrføtt,1090,1130,,Oslo,"Oslo, Hallvardskatedralen (flyttet til Akershus slottskirke)"
Magnus IV Blinde,1130,1135,Sønn av Sigurd Jorsalfare,1115,1139,,"Båhuslen, Holmengrå","Oslo, Hallvardskatedralen"
Harald IV Gille,1130,1136,Sønn av Magnus Berrføtt,1102,1136,Irland eller Suderøyene,"Hordaland, Bergen",
Sigurd II Munn,1136,1155,Sønn av Harald Gille,1133,1155,,"Hordaland, Bergen","Hordaland, Bergen, Lille Kristkirke"
Inge Krokrygg,1136,1161,Sønn av Harald Gille,1134 ca.,1161,,"Oslo, Bjørvika","Oslo, Hallvardskatedralen"
Øystein II Haraldsson,1142,1157,Sønn av Harald Gille,1125,1157,Vesterhavsøyene,Båhuslen,
Håkon II Herdebrei,1159,1162,Sønn av Sigurd Munn,1157 ca.,1162,,"Møre og Romsdal, Sekken","Sør-Trøndelag, Nidaros, Kristkirken"
Magnus V Erlingsson,1161,1184,Dattersønn av Sigurd Jorsalfare,1156,1184,,"Sogn og Fjordane, Fimreite","Hordaland, Bergen, Kristkirken"
Sverre Sigurdsson,1177,1202,Sønn av Sigurd Munn (påstått),1151 ca.,1202,Færøyene,"Hordaland, Bergen","Hordaland, Bergen, Kristkirken"
Håkon III Sverresson,1202,1204,Sønn av Sverre Sigurdsson,1182 ca.,1204,,"Hordaland, Bergen","Hordaland, Bergen, Kristkirken"
Guttorm Sigurdsson,1204,1204,Sønnesønn av Sverre Sigurdsson,1199,1204,,"Sør-Trøndelag, Nidaros","Sør-Trøndelag, Nidaros, Kristkirken"
Erling Steinvegg,1204,1207,"Sønn av Magnus Erlingsson (påstått), baglerkonge",,1207,,"Vestfold, Tunsberg","Vestfold, Tunsberg, Olavskirken"
Inge II Bårdsson,1204,1217,Søstersønn av Sverre Sigurdsson,1185,1217,,,"Sør-Trøndelag, Nidaros, Kristkirken"
Filippus Simonsson,1207,1217,"Dattersønn av Ingerid Ragnvaldsdotter, gift med Kristin Sverresdotter, baglerkonge",,1217,,"Vestfold, Horten, Løvøya","Vestfold, Horten, Løvøya (antatt)"
Håkon IV Håkonsson,1217,1263,Sønn av Håkon Sverresson,1204,1263,"Østfold, Eidsberg",Orknøyene,"Hordaland, Bergen, Kristkirken"
Magnus VI Lagabøte,1263,1280,Sønn av Håkon Håkonsson,1238,1280,,"Hordaland, Bergen","Hordaland, Bergen, Fransiskanerklosteret"
Eirik II Magnusson,1280,1299,Sønn av Magnus Lagabøte,1268,1299,,,
Håkon V Magnusson,1299,1319,Sønn av Magnus Lagabøte,1270,1319,,"Vestfold, Tønsberg, Tunsberghus","Oslo, Mariakirken (nå i Akershus slottskirke)"
Magnus VII Eiriksson,1319,1374,Dattersønn av Håkon V Magnusson,1316,1374,,"Hordaland, Bømlafjorden, Lyngholmen","Oslo, Mariakirken (trad.)"
Håkon VI Magnusson,1343,1380,Sønn av Magnus VII Eiriksson,1340,1380,Sverige,Oslo,"Oslo, Mariakirken"
Olav IV Håkonsson,1380,1387,Sønn av Håkon VI Magnusson,1370,1387,,"Skåne, Falsterbohus","Danmark, Sorø klosterkirke"
Margrete Valdemarsdatter,1388,1412,"Gift med Håkon VI Magnusson, mor til Olav Håkonsson",1353,1412,,"Danmark, Flensburgfjorden","Danmark, Roskilde domkirke"
Erik III av Pommern,1389,1442,Fostersønn av Margrete Valdemarsdatter,1382,1459,"Polen (Pommern), Darłowo",Polen (Pommern),"Polen (Pommern), Darłowo"
Christoffer av Bayern,1442,1448,Søstersønn av Erik av Pommern,1416,1448,"Skåne, Helsingborg","Skåne, Helsingborg slott","Danmark, Roskilde domkirke"
Karl I Knutsson Bonde,1449,1450,"Hyllet i Sverige, unionskonge",1408 ca.,1470,,"Sverige, Stockholm","Sverige, Stockholm, Riddarholmskyrkan"
Christian I,1450,1481,"Hyllet i Danmark, unionskonge",1426,1481,,"Danmark, København","Danmark, Roskilde domkirke"
Hans,1483,1513,Sønn av Christian I,1455,1513,"Danmark, Ålborg, Ålborghus","Danmark, Ålborg, Ålborghus","Danmark, Odense, Gråbrødre klosterkirke"
Christian II,1513,1523,Sønn av Hans,1481,1559,"Danmark, Nyborg slott","Danmark, Kalundborg slott","Danmark, Odense, St. Knuds kirke"
Frederik I,1524,1533,Sønn av Christian I,1471,1533,"Danmark, Haderslevhus","Tyskland, Slesvig, Gottorp slott","Tyskland, Slesvig, Schleswig domkirke"
Christian III,1537,1559,Sønn av Frederik I,1503,1559,"Tyskland, Slesvig, Gottorp slott","Danmark, Kolding, Koldinghus","Danmark, Roskilde domkirke"
Frederik II,1559,1588,Sønn av Christian III,1534,1588,"Danmark, Haderslevhus","Danmark, Antvorskov kloster","Danmark, Roskilde domkirke"
Christian IV,1588,1648,Sønn av Frederik II,1577,1648,"Danmark, Fredriksborg slott","Danmark, København, Rosenborg slott","Danmark, Roskilde domkirke"
Frederik III,1648,1670,Sønn av Christian IV,1609,1670,"Danmark, Haderslevhus",,"Danmark, Roskilde domkirke"
Christian V,1670,1699,Sønn av Frederik III,1646,1699,"Tyskland, Flensburg",,"Danmark, Roskilde domkirke"
Frederik IV,1699,1730,Sønn av Christian V,1671,1730,"Danmark, Københavns slott","Danmark, Odense","Danmark, Roskilde domkirke"
Christian VI,1730,1746,Sønn av Frederik IV,1699,1746,,,"Danmark, Roskilde domkirke"
Frederik V,1746,1766,Sønn av Christian VI,1723,1766,,,"Danmark, Roskilde domkirke"
Christian VII,1766,1808,Sønn av Frederik V,1749,1808,"Danmark, København","Tyskland, Rendsburg","Danmark, Roskilde domkirke"
Frederik VI,1808,1814,Sønn av Christian VII,1768,1839,"Danmark, København, Christiansborg","Danmark, København, Amalienborg","Danmark, Roskilde domkirke"
Christian Frederik,1814,1814,"Sønnesønn av Frederik V (offisielt), valgt til konge",1786,1848,"Danmark, København, Christiansborg","Danmark, København, Amalienborg","Danmark, Roskilde domkirke"
Karl II,1814,1818,"Sønn av Adolf Fredrik av Sverige, unionskonge",1748,1818,"Sverige, Stockholms slott","Sverige, Stockholms slott","Sverige, Stockholm, Riddarholmskyrkan"
Karl III Johan,1818,1844,Adoptivsønn av Karl II,1763,1844,"Frankrike, Pau","Sverige, Stockholms slott","Sverige, Stockholm, Riddarholmskyrkan"
Oscar I,1844,1859,Sønn av Karl III Johan,1799,1859,"Frankrike, Paris","Sverige, Stockholms slott","Sverige, Stockholm, Riddarholmskyrkan"
Karl IV,1859,1872,Sønn av Oscar I,1826,1872,"Sverige, Stockholms slott","Sverige, Malmö","Sverige, Stockholm, Riddarholmskyrkan"
Oscar II,1872,1905,Sønn av Oscar I,1829,1907,"Sverige, Stockholm","Sverige, Stockholm","Sverige, Stockholm, Riddarholmskyrkan"
Haakon VII,1905,1957,"Sønn av Frederik VIII av Danmark, valgt til konge",1872,1957,"Danmark, Charlottenlund slott",Oslo,"Oslo, Akershus slottskirke"
Olav V,1957,1991,Sønn av Haakon VII,1903,1991,"England, Sandringham",Oslo,"Oslo, Akershus slottskirke"
Harald V,1991,,Sønn av Olav V,1937,,"Akershus, Asker, Skaugum",,NA
